"Country or Area","Year","Area","Duration of marriage","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","1991","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1992","2236",""
"Albania","1991","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1992","518",""
"Albania","1991","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1992","512",""
"Albania","1991","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1992","534",""
"Albania","1991","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1992","366",""
"Albania","1991","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1992","306",""
"Albania","1991","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1992","0",""
"Albania","1990","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1991","2675",""
"Albania","1990","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1991","652",""
"Albania","1990","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1991","525",""
"Albania","1990","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1991","688",""
"Albania","1990","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1991","459",""
"Albania","1990","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1991","351",""
"Albania","1990","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1991","0",""
"Albania","1989","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1990","2628",""
"Albania","1989","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1990","641",""
"Albania","1989","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1990","562",""
"Albania","1989","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1990","699",""
"Albania","1989","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1990","432",""
"Albania","1989","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1990","294",""
"Albania","1988","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2597",""
"Albania","1988","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","642",""
"Albania","1988","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","542",""
"Albania","1988","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","705",""
"Albania","1988","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","402",""
"Albania","1988","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","306",""
"Albania","1988","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1987","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2537",""
"Albania","1987","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","620",""
"Albania","1987","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","521",""
"Albania","1987","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","676",""
"Albania","1987","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","403",""
"Albania","1987","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","317",""
"Albania","1987","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1986","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2383",""
"Albania","1986","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","615",""
"Albania","1986","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","471",""
"Albania","1986","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","656",""
"Albania","1986","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","319",""
"Albania","1986","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","322",""
"Albania","1986","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1985","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2451",""
"Albania","1985","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","591",""
"Albania","1985","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","528",""
"Albania","1985","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","683",""
"Albania","1985","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","370",""
"Albania","1985","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","279",""
"Albania","1985","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1984","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2335",""
"Albania","1984","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","620",""
"Albania","1984","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","497",""
"Albania","1984","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","576",""
"Albania","1984","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","352",""
"Albania","1984","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","290",""
"Albania","1984","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1983","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1987","2371",""
"Albania","1983","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1987","666",""
"Albania","1983","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1987","483",""
"Albania","1983","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1987","567",""
"Albania","1983","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1987","382",""
"Albania","1983","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1987","273",""
"Albania","1983","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1987","0",""
"Albania","1982","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1987","2206",""
"Albania","1982","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1987","526",""
"Albania","1982","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1987","474",""
"Albania","1982","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1987","545",""
"Albania","1982","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1987","369",""
"Albania","1982","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1987","292",""
"Albania","1982","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1987","0",""
"Albania","1981","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1985","2222",""
"Albania","1981","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1985","496",""
"Albania","1981","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1985","479",""
"Albania","1981","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1985","568",""
"Albania","1981","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1985","373",""
"Albania","1981","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1985","306",""
"Albania","1981","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1985","0",""
"Albania","1980","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1985","2024",""
"Albania","1980","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1985","444",""
"Albania","1980","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1985","400",""
"Albania","1980","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1985","545",""
"Albania","1980","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1985","355",""
"Albania","1980","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1985","280",""
"Albania","1980","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1985","0",""
"Albania","1979","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1983","1849",""
"Albania","1979","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1983","361",""
"Albania","1979","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1983","399",""
"Albania","1979","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1983","506",""
"Albania","1979","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1983","295",""
"Albania","1979","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1983","288",""
"Albania","1979","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1983","0",""
"Albania","1978","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1983","1836",""
"Albania","1978","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1983","428",""
"Albania","1978","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1983","385",""
"Albania","1978","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1983","503",""
"Albania","1978","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1983","232",""
"Albania","1978","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1983","288",""
"Albania","1978","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1983","0",""
"American Samoa","1969","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1972","49",""
"American Samoa","1969","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1969","Total","1","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1969","Total","2","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1969","Total","3","Data tabulated by year of occurrence","Final figure, complete","1972","4",""
"American Samoa","1969","Total","4","Data tabulated by year of occurrence","Final figure, complete","1972","8",""
"American Samoa","1969","Total","5","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1969","Total","6","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1969","Total","7","Data tabulated by year of occurrence","Final figure, complete","1972","4",""
"American Samoa","1969","Total","8","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1969","Total","9","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1969","Total","10 - 14","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1969","Total","15 - 19","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1969","Total","20 +","Data tabulated by year of occurrence","Final figure, complete","1972","7",""
"American Samoa","1969","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1972","7",""
"American Samoa","1968","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1972","37",""
"American Samoa","1968","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1968","Total","1","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1968","Total","2","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1968","Total","3","Data tabulated by year of occurrence","Final figure, complete","1972","6",""
"American Samoa","1968","Total","4","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1968","Total","5","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1968","Total","6","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1968","Total","7","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1968","Total","8","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1968","Total","9","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1968","Total","10 - 14","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1968","Total","15 - 19","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1968","Total","20 +","Data tabulated by year of occurrence","Final figure, complete","1972","4",""
"American Samoa","1968","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1967","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1972","18",""
"American Samoa","1967","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1967","Total","1","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1967","Total","2","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1967","Total","3","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1967","Total","4","Data tabulated by year of occurrence","Final figure, complete","1972","7",""
"American Samoa","1967","Total","5","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1967","Total","6","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1967","Total","7","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1967","Total","8","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1967","Total","9","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1967","Total","10 - 14","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1967","Total","15 - 19","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1967","Total","20 +","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1967","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1966","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1972","27",""
"American Samoa","1966","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1966","Total","1","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1966","Total","2","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1966","Total","3","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1966","Total","4","Data tabulated by year of occurrence","Final figure, complete","1972","4",""
"American Samoa","1966","Total","5","Data tabulated by year of occurrence","Final figure, complete","1972","4",""
"American Samoa","1966","Total","6","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1966","Total","7","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1966","Total","8","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1966","Total","9","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1966","Total","10 - 14","Data tabulated by year of occurrence","Final figure, complete","1972","6",""
"American Samoa","1966","Total","15 - 19","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1966","Total","20 +","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1966","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1965","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1972","36",""
"American Samoa","1965","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1965","Total","1","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1965","Total","2","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1965","Total","3","Data tabulated by year of occurrence","Final figure, complete","1972","6",""
"American Samoa","1965","Total","4","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1965","Total","5","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1965","Total","6","Data tabulated by year of occurrence","Final figure, complete","1972","3",""
"American Samoa","1965","Total","7","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1965","Total","8","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1965","Total","9","Data tabulated by year of occurrence","Final figure, complete","1972","0",""
"American Samoa","1965","Total","10 - 14","Data tabulated by year of occurrence","Final figure, complete","1972","7",""
"American Samoa","1965","Total","15 - 19","Data tabulated by year of occurrence","Final figure, complete","1972","1",""
"American Samoa","1965","Total","20 +","Data tabulated by year of occurrence","Final figure, complete","1972","2",""
"American Samoa","1965","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1972","6",""
"Antigua and Barbuda","1995","Total","Total","Data tabulated by year of registration","Final figure, complete","1997","30",""
"Antigua and Barbuda","1995","Total","Less than 6","Data tabulated by year of registration","Final figure, complete","1997","2",""
"Antigua and Barbuda","1995","Total","6 - 9","Data tabulated by year of registration","Final figure, complete","1997","4",""
"Antigua and Barbuda","1995","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1997","8",""
"Antigua and Barbuda","1995","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1997","6",""
"Antigua and Barbuda","1995","Total","20 +","Data tabulated by year of registration","Final figure, complete","1997","10",""
"Antigua and Barbuda","1994","Total","Total","Data tabulated by year of registration","Final figure, complete","1997","48",""
"Antigua and Barbuda","1994","Total","Less than 6","Data tabulated by year of registration","Final figure, complete","1997","0",""
"Antigua and Barbuda","1994","Total","6 - 9","Data tabulated by year of registration","Final figure, complete","1997","9",""
"Antigua and Barbuda","1994","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1997","12",""
"Antigua and Barbuda","1994","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1997","9",""
"Antigua and Barbuda","1994","Total","20 +","Data tabulated by year of registration","Final figure, complete","1997","18",""
"Antigua and Barbuda","1993","Total","Total","Data tabulated by year of registration","Final figure, complete","1997","42",""
"Antigua and Barbuda","1993","Total","Less than 6","Data tabulated by year of registration","Final figure, complete","1997","0",""
"Antigua and Barbuda","1993","Total","6 - 9","Data tabulated by year of registration","Final figure, complete","1997","9",""
"Antigua and Barbuda","1993","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1997","9",""
"Antigua and Barbuda","1993","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1997","10",""
"Antigua and Barbuda","1993","Total","20 +","Data tabulated by year of registration","Final figure, complete","1997","14",""
"Antigua and Barbuda","1992","Total","Total","Data tabulated by year of registration","Final figure, complete","1997","33",""
"Antigua and Barbuda","1992","Total","Less than 6","Data tabulated by year of registration","Final figure, complete","1997","0",""
"Antigua and Barbuda","1992","Total","6 - 9","Data tabulated by year of registration","Final figure, complete","1997","13",""
"Antigua and Barbuda","1992","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1997","7",""
"Antigua and Barbuda","1992","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1997","4",""
"Antigua and Barbuda","1992","Total","20 +","Data tabulated by year of registration","Final figure, complete","1997","9",""
"Antigua and Barbuda","1991","Total","Total","Data tabulated by year of registration","Final figure, complete","1997","23",""
"Antigua and Barbuda","1991","Total","Less than 6","Data tabulated by year of registration","Final figure, complete","1997","0",""
"Antigua and Barbuda","1991","Total","6 - 9","Data tabulated by year of registration","Final figure, complete","1997","8",""
"Antigua and Barbuda","1991","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1997","1",""
"Antigua and Barbuda","1991","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1997","2",""
"Antigua and Barbuda","1991","Total","20 +","Data tabulated by year of registration","Final figure, complete","1997","12",""
"Antigua and Barbuda","1986","Total","Total","Data tabulated by year of registration","Final figure, complete","1987","22",""
"Antigua and Barbuda","1986","Total","Less than 10","Data tabulated by year of registration","Final figure, complete","1987","4",""
"Antigua and Barbuda","1986","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1987","7",""
"Antigua and Barbuda","1986","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1987","6",""
"Antigua and Barbuda","1986","Total","20 +","Data tabulated by year of registration","Final figure, complete","1987","3",""
"Antigua and Barbuda","1986","Total","Not stated","Data tabulated by year of registration","Final figure, complete","1987","2",""
"Antigua and Barbuda","1985","Total","Total","Data tabulated by year of registration","Final figure, complete","1987","35",""
"Antigua and Barbuda","1985","Total","Less than 10","Data tabulated by year of registration","Final figure, complete","1987","10",""
"Antigua and Barbuda","1985","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1987","8",""
"Antigua and Barbuda","1985","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1987","6",""
"Antigua and Barbuda","1985","Total","20 +","Data tabulated by year of registration","Final figure, complete","1987","6",""
"Antigua and Barbuda","1985","Total","Not stated","Data tabulated by year of registration","Final figure, complete","1987","5",""
"Antigua and Barbuda","1984","Total","Total","Data tabulated by year of registration","Final figure, complete","1987","39",""
"Antigua and Barbuda","1984","Total","Less than 10","Data tabulated by year of registration","Final figure, complete","1987","12",""
"Antigua and Barbuda","1984","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1987","4",""
"Antigua and Barbuda","1984","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1987","9",""
"Antigua and Barbuda","1984","Total","20 +","Data tabulated by year of registration","Final figure, complete","1987","6",""
"Antigua and Barbuda","1984","Total","Not stated","Data tabulated by year of registration","Final figure, complete","1987","8",""
"Antigua and Barbuda","1983","Total","Total","Data tabulated by year of registration","Final figure, complete","1984","34",""
"Antigua and Barbuda","1983","Total","Less than 5","Data tabulated by year of registration","Final figure, complete","1984","6",""
"Antigua and Barbuda","1983","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","1984","11",""
"Antigua and Barbuda","1983","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1984","11",""
"Antigua and Barbuda","1983","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1984","1",""
"Antigua and Barbuda","1983","Total","20 +","Data tabulated by year of registration","Final figure, complete","1984","5",""
"Antigua and Barbuda","1983","Total","Not stated","Data tabulated by year of registration","Final figure, complete","1984","0",""
"Antigua and Barbuda","1982","Total","Total","Data tabulated by year of registration","Final figure, complete","1984","45",""
"Antigua and Barbuda","1982","Total","Less than 5","Data tabulated by year of registration","Final figure, complete","1984","6",""
"Antigua and Barbuda","1982","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","1984","15",""
"Antigua and Barbuda","1982","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","1984","12",""
"Antigua and Barbuda","1982","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","1984","5",""
"Antigua and Barbuda","1982","Total","20 +","Data tabulated by year of registration","Final figure, complete","1984","7",""
"Antigua and Barbuda","1982","Total","Not stated","Data tabulated by year of registration","Final figure, complete","1984","0",""
"Armenia","2022","Total","Total","Data tabulated by year of registration","Final figure, complete","2023","4525",""
"Armenia","2022","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2023","103",""
"Armenia","2022","Total","1","Data tabulated by year of registration","Final figure, complete","2023","261",""
"Armenia","2022","Total","2","Data tabulated by year of registration","Final figure, complete","2023","168",""
"Armenia","2022","Total","3","Data tabulated by year of registration","Final figure, complete","2023","229",""
"Armenia","2022","Total","4","Data tabulated by year of registration","Final figure, complete","2023","175",""
"Armenia","2022","Total","5","Data tabulated by year of registration","Final figure, complete","2023","202",""
"Armenia","2022","Total","6","Data tabulated by year of registration","Final figure, complete","2023","180",""
"Armenia","2022","Total","7","Data tabulated by year of registration","Final figure, complete","2023","217",""
"Armenia","2022","Total","8","Data tabulated by year of registration","Final figure, complete","2023","216",""
"Armenia","2022","Total","9","Data tabulated by year of registration","Final figure, complete","2023","211",""
"Armenia","2022","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","2023","859",""
"Armenia","2022","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","2023","585",""
"Armenia","2022","Total","20 - 24","Data tabulated by year of registration","Final figure, complete","2023","291",""
"Armenia","2022","Total","25 +","Data tabulated by year of registration","Final figure, complete","2023","828",""
"Armenia","2019","Total","Total","Data tabulated by year of registration","Final figure, complete","2022","3880",""
"Armenia","2019","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2022","193",""
"Armenia","2019","Total","1","Data tabulated by year of registration","Final figure, complete","2022","185",""
"Armenia","2019","Total","2","Data tabulated by year of registration","Final figure, complete","2022","171",""
"Armenia","2019","Total","3","Data tabulated by year of registration","Final figure, complete","2022","166",""
"Armenia","2019","Total","4","Data tabulated by year of registration","Final figure, complete","2022","253",""
"Armenia","2019","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","2022","788",""
"Armenia","2019","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","2022","622",""
"Armenia","2019","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","2022","338",""
"Armenia","2019","Total","20 +","Data tabulated by year of registration","Final figure, complete","2022","1164",""
"Armenia","2018","Total","Total","Data tabulated by year of registration","Final figure, complete","2020","3820",""
"Armenia","2018","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2020","190",""
"Armenia","2018","Total","1","Data tabulated by year of registration","Final figure, complete","2020","203",""
"Armenia","2018","Total","2","Data tabulated by year of registration","Final figure, complete","2020","197",""
"Armenia","2018","Total","3","Data tabulated by year of registration","Final figure, complete","2020","251",""
"Armenia","2018","Total","4","Data tabulated by year of registration","Final figure, complete","2020","259",""
"Armenia","2018","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","2020","861",""
"Armenia","2018","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","2020","612",""
"Armenia","2018","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","2020","336",""
"Armenia","2018","Total","20 - 24","Data tabulated by year of registration","Final figure, complete","2020","911",""
"Armenia","2018","Total","25 +","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Armenia","2017","Total","Total","Data tabulated by year of registration","Final figure, complete","2019","3940",""
"Armenia","2017","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2019","248",""
"Armenia","2017","Total","1","Data tabulated by year of registration","Final figure, complete","2019","195",""
"Armenia","2017","Total","2","Data tabulated by year of registration","Final figure, complete","2019","336",""
"Armenia","2017","Total","3","Data tabulated by year of registration","Final figure, complete","2019","273",""
"Armenia","2017","Total","4","Data tabulated by year of registration","Final figure, complete","2019","218",""
"Armenia","2017","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","2019","793",""
"Armenia","2017","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","2019","630",""
"Armenia","2017","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","2019","357",""
"Armenia","2017","Total","20 - 24","Data tabulated by year of registration","Final figure, complete","2019","890",""
"Armenia","2017","Total","25 +","Data tabulated by year of registration","Final figure, complete","2019","0",""
"Armenia","2017","Total","Not stated","Data tabulated by year of registration","Final figure, complete","2019","0",""
"Armenia","2016","Total","Total","Data tabulated by year of registration","Final figure, complete","2019","3648",""
"Armenia","2016","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2019","247",""
"Armenia","2016","Total","1","Data tabulated by year of registration","Final figure, complete","2019","306",""
"Armenia","2016","Total","2","Data tabulated by year of registration","Final figure, complete","2019","287",""
"Armenia","2016","Total","3","Data tabulated by year of registration","Final figure, complete","2019","172",""
"Armenia","2016","Total","4","Data tabulated by year of registration","Final figure, complete","2019","188",""
"Armenia","2016","Total","5 - 9","Data tabulated by year of registration","Final figure, complete","2019","784",""
"Armenia","2016","Total","10 - 14","Data tabulated by year of registration","Final figure, complete","2019","519",""
"Armenia","2016","Total","15 - 19","Data tabulated by year of registration","Final figure, complete","2019","313",""
"Armenia","2016","Total","20 - 24","Data tabulated by year of registration","Final figure, complete","2019","832",""
"Armenia","2016","Total","25 +","Data tabulated by year of registration","Final figure, complete","2019","0",""
"Armenia","2016","Total","Not stated","Data tabulated by year of registration","Final figure, complete","2019","0",""
"Armenia","2014","Total","Total","Data tabulated by year of registration","Final figure, complete","2016","4496",""
"Armenia","2014","Total","Less than 1","Data tabulated by year of registration","Final figure, complete","2016","205",""
"Armenia","2014","Total","1","Data tabulated by year of registration","Final figure, complete","2016","462",""
"Armenia","2014","Total","2","Data tabulated by year of registration","Final figure, complete","2016","194",""
"Armenia","2014","Total","3","Data tabulated by year of registration","Final figure, complete","2016","199",""
"Armenia","2014","Total","4","Data tabulated by year of registration","Final figure, complete","2016","184",""
"Armenia","2014","Total","5","Data tabulated by year of registration","Final figure, complete","2016","829",""
"Armenia","2014","Total","6","Data tabulated by year of registration","Final figure, complete","2016","0",""
"Armenia","2014","Total","7","Data tabulated by year of registration","Final figure, complete","2016","0",""
"Armenia","2014","Total","8","Data tabulated by year of registration","Final figure, complete","2016","0",""
"Armenia","2014","Total","9","Data tabulated by year of registration","Final figure, complete","2016","0",""
